
Time_us,Sample
2757360,2063
2759952,2002
2762456,2048
2764952,2016
2767360,2065
2769860,2009
2772452,2031
2774956,1964
2777456,2050
2779956,2001
2782552,2053
2785056,2054
2787556,1990
2789964,2054
2792464,2010
2794964,2061
2797464,2052
2800060,1994
2802560,2011
2805060,2073
2807560,2045
2810152,2001
2812560,1990
2815152,2000
2817656,1995
2820064,2020
2822656,2084
2825064,2016
2827656,2044
2830064,2035
2832564,1961
2835064,2020
2837660,2035
2840160,2073
2842660,2045
2845160,2070
2847652,1973
2850152,2027
2852660,2047
2855156,2047
2857660,2021
2860156,1983
2862660,2030
2865160,2016
2867652,1999
2870060,1998
2872652,2089
2875156,2038
2877656,1985
2880160,2093
2882664,2059
2885156,2039
2887656,2022
2890164,2014
2892664,2039
2895256,2062
2897668,1997
2900164,2058
2902664,2042
2905160,2049
2907664,2009
2910156,2036
2912664,1954
2915252,2037
2917760,2053
2920264,2033
2922760,2016
2925252,2039
2927752,1995
2930256,2053
2932668,1960
2935164,2033
2937656,2033
2940164,2043
2942656,2058
2945164,1999
2947668,2019
2950260,2041
2952764,2020
2955256,2036
2957764,2029
2960264,1998
2962764,2068
2965264,1983
2967760,2004
2970264,2004
2972760,2008
2975264,2091
2977756,2005
2980260,1963
2982764,1983
2985356,2043
2987764,2023
2990264,2042
2992764,2056
2995260,1999
2997752,2071
3000164,2004
3002756,1974
3005168,2048
3007664,1984
3010156,2064
3012664,1981
3015252,2012
3017764,2077
3020256,2029
3022760,2063
3025256,2036
3027756,2044
3030352,2041
3032860,2072
3035356,1986
3037860,2072
3040360,2030
3042864,2003
3045356,2065
3047864,2044
3050452,2064
3052952,2066
3055360,1985
3057952,2048
3060364,1984
3062956,2063
3065460,2044
3067960,2040
3070464,2017
3072960,1994
3075464,2026
3078052,2027
3080540,2044
3083052,1991
3085556,2059
3087964,2019
3090560,1994
3093060,1990
3095560,1964
3098052,2022
3100556,2001
3103056,2133
3105468,2046
3107964,2037
3110552,2065
3112964,2069
3115552,2046
3117960,2025
3120552,2052
3122964,2021
3125460,2037
3127952,1990
3130364,1962
3132864,1981
3135452,2020
3137960,2023
3140464,2027
3142952,1985
3145364,2074
3147956,1967
3150364,2014
3152960,2073
3155464,2012
3157956,2055
3160464,1990
3162956,2025
3165452,1987
3167864,2004
3170460,2087
3172952,2071
3175464,2014
3177956,2029
3180460,2064
3183052,2094
3185464,2054
3187964,2064
3190552,2059
3193052,2006
3195464,2061
3198060,2036
3200564,2048
3203056,2042
3205564,2044
3208052,2018
